word,cefr
reverent,C2
revert,C2
revolt,C2
rife,C2
rift,C2
rigor,C2
rite,C2
roach,C2
roost,C2
rot,C2
rote,C2
rummage,C2
saboteur,C2
sac,C2
sadden,C2
sassy,C2
scarcity,C2
scramble,C2
scrap,C2
scrapheap,C2
screengrab,C2
scribble,C2
scroll,C2
sculpt,C2
scurry,C2
seethe,C2
serendipity,C2
sever,C2
shack,C2
sham,C2
sheathe,C2
shield,C2
shred,C2
shudder,C2
skeptical,C2
skillet,C2
slack,C2
smoky,C2
smoulder,C2
snare,C2
sneer,C2
sniff,C2
snippet,C2
soggy,C2
soot,C2
spar,C2
spike,C2
sprain,C2
spur,C2
stag,C2
stampede,C2
stardom,C2
starvation,C2
stern,C2
steroid,C2
stitch,C2
stoicism,C2
straggle,C2
strap,C2
stump,C2
sulfuric,C2
superficial,C2
superstition,C2
supremacy,C2
sustainability,C2
swell,C2
swift,C2
swirl,C2
systematically,C2
tandem,C2
tangible,C2
tangle,C2
tantalize,C2
tarantula,C2
tasteless,C2
teary,C2
tellingly,C2
terminology,C2
terraforming,C2
thermal,C2
thrash,C2
throb,C2
thrust,C2
tidbit,C2
tirade,C2
tire,C2
tragically,C2
trammelled,C2
transgression,C2
trash,C2
traumatic,C2
tread,C2
treason,C2
trench,C2
trepidation,C2
trickle,C2
trilogy,C2
trinket,C2
truism,C2
tumult,C2
turbine,C2
turbulent,C2
turf,C2
tweed,C2
tweet,C2
twine,C2
tyrannical,C2
ugli,C2
unanimous,C2
unanimously,C2
undesirable,C2
undiscerning,C2
unethical,C2
unfurl,C2
unmolested,C2
unravel,C2
unrelenting,C2
untrammeled,C2
unwind,C2
unwittingly,C2
unyielding,C2
upheaval,C2
upsurge,C2
usher,C2
utopia,C2
utter,C2
vanguard,C2
variance,C2
veer,C2
venerable,C2
venerate,C2
veneration,C2
venomous,C2
veracious,C2
visor,C2
vocation,C2
volatile,C2
voter,C2
wary,C2
weary,C2
wellies,C2
whine,C2
whingeing,C2
whir,C2
whirl,C2
wholeheartedly,C2
wicked,C2
wiggle,C2
wilt,C2
wink,C2
wisp,C2
woe,C2
worthless,C2
wrangle,C2
wreck,C2
wring,C2
wry,C2
yap,C2
yarn,C2
yearn,C2
zing,C2
